User likes,Category,Number of seasons,Number of episodes,Age Range,Episode Duration,Year,Original language,Popular at the time,Animated,Has famous actors,Based on true events
TRUE,Dramatic Comedy,6,50-100,16+,20-30,2020+,English,TRUE,TRUE,TRUE,FALSE
TRUE,Dramatic Comedy,1,2-20,16+,20-30,2020+,English,FALSE,TRUE,FALSE,TRUE
TRUE,Situation Comedy,9,200-300,13+,20-30,2010-2015,English,FALSE,FALSE,FALSO,FALSO
TRUE,Science Fiction,6,20-50,16+,90-150,2020+,English,TRUE,FALSE,TRUE,FALSE
TRUE,Science Fiction,3,20-50,18+,0-20,2020+,English,FALSE,TRUE,FALSE,FALSE
FALSO,Situation Comedy,5,200-300,13+,30-60,2000-2010,Spanish,FALSO,FALSE,FALSO,FALSE
TRUE,Dramatic Comedy,1,1,13+,90-150,2020+,English,TRUE,TRUE,VERDADERO,FALSE
FALSE,Adolescent Drama,6,20-50,16+,30-60,2020+,Spanish,TRUE,FALSE,FALSE,FALSE
FALSE,Horror,10+,50-100,18+,30-60,2010-2015,English,FALSE,FALSE,FALSE,FALSE
FALSE,Adolescent Drama,6,100-200,16+,30-60,2010-2015,English,FALSE,FALSE,TRUE,FALSE
FALSE,Horror,1,1,16+,150+,2020+,Mandarin,TRUE,FALSE,FALSE,FALSE
TRUE,Thriller,1,1,16+,90-150,2010-2015,English,FALSE,FALSE,TRUE,FALSE
FALSE,Adolescent Drama,3,20-50,16+,30-60,2020+,Italian,TRUE,FALSE,FALSE,FALSE
FALSE,Historical Drama,6,50-100,16+,30-60,2010-2015,English,FALSE,FALSE,FALSE,FALSE
TRUE,Romantic Comedy,1,1,16+,90-150,2020+,English,TRUE,TRUE,FALSO,FALSE
FALSE,Fantasy,10+,1000+,13+,20-30,2000-,Japanese,FALSO,TRUE,FALSO,FALSO
TRUE,Adolescent Drama,7,50-100,16+,30-60,2010-2015,English,FALSE,TRUE,FALSE,FALSE
FALSE,Historical Drama,1,1,16+,90-150,2020+,German,TRUE,FALSE,FALSE,TRUE
TRUE,Horror,1,2-20,16+,60-90,2015-2020,English,TRUE,FALSE,FALSE,FALSE
FALSE,Documentary,2,2-20,13+,30-60,2020+,Spanish,TRUE,FALSE,TRUE,TRUE